text_id,sample_date,sample_id,result_value,percentage,median,anomaly_score,is_anomaly
AD22-00017.005,2022-12-12,AD22-00017.005,148536,1.308,225253.0,-1,True
AD23-00002.009,2023-01-02,AD23-00002.009,919287,9.6,319781.0,-1,True
AD24-00116.032,2024-03-18,AD24-00116.032,5971323,38.278,884428.5,-1,True
AD23-00432.014,2023-11-16,AD23-00432.014,171680,2.69,63368.0,-1,True
AD23-00399.006,2023-10-25,AD23-00399.006,726518,12.289,884428.5,-1,True
AD24-00051.023,2024-02-04,AD24-00051.023,32895,1.917,143990.0,-1,True
AD23-00399.005,2023-10-25,AD23-00399.005,245649,3.141,671922.0,-1,True
AD23-00429.016,2023-11-15,AD23-00429.016,348052,9.118,218747.0,-1,True
AD23-00429.010,2023-11-15,AD23-00429.010,193681,3.712,68217.0,-1,True
AD23-00429.038,2023-11-15,AD23-00429.038,232620,3.402,24955.0,-1,True
AD23-00429.051,2023-11-15,AD23-00429.051,237718,2.951,88015.0,-1,True
AD23-00011.010,2023-01-09,AD23-00011.010,109013,1.511,143990.0,-1,True
AD23-00432.001,2023-11-16,AD23-00432.001,3605816,28.103,884428.5,-1,True
AD22-00012.008,2022-12-07,AD22-00012.008,89368,2.671802,143990.0,-1,True
AD22-00014.010,2022-12-08,AD22-00014.010,370367,6.766747,61811.0,-1,True
AD24-00071.024,2024-02-15,AD24-00071.024,1545328,13.603,319982.0,-1,True
AD23-00011.008,2023-01-09,AD23-00011.008,163428,1.71,225253.0,-1,True
AD23-00432.020,2023-11-16,AD23-00432.020,235434,2.273,319781.0,-1,True
AD23-00429.025,2023-11-15,AD23-00429.025,169240,2.243,91252.0,-1,True
AD24-00116.026,2024-03-18,AD24-00116.026,2189514,20.849,671922.0,-1,True
AD23-00434.013,2023-11-19,AD23-00434.013,567508,6.529,225253.0,-1,True
AD23-00002.008,2023-01-02,AD23-00002.008,353120,5.403,63368.0,-1,True
AD23-00429.003,2023-11-15,AD23-00429.003,281322,3.446,88015.0,-1,True
AD23-00002.008,2023-01-02,AD23-00002.008,175742,2.689,319982.0,-1,True
AD24-00051.009,2024-02-04,AD24-00051.009,117738,4.56,319781.0,-1,True
AD23-00429.018,2023-11-15,AD23-00429.018,181475,2.816,71625.0,-1,True
AD23-00429.049,2023-11-15,AD23-00429.049,310838,3.8,225253.0,-1,True
